                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3772,                 2.8968,                 1.6386,                0.58415,                0.47879,                0.51702,                0.26888,                 1.5702,                 2.2589,                 1.8785,              0.0033311,              0.0033311,              0.0033311
                      2,                 1.3764,                 2.2435,                 1.6392,                0.48693,                0.42288,                0.43146,                0.22218,                 1.7013,                 2.1835,                 2.0282,              0.0065325,              0.0065325,              0.0065325
                      3,                 1.4555,                  2.153,                 1.7188,                0.46684,                0.37412,                0.36154,                0.18261,                 1.7832,                 2.2939,                 2.1784,              0.0096019,              0.0096019,              0.0096019
                      4,                 1.4961,                 2.1136,                  1.763,                0.52431,                 0.4275,                0.43439,                0.23586,                 1.7229,                 1.9436,                 2.0361,               0.009406,               0.009406,               0.009406
                      5,                 1.4294,                 1.9442,                 1.7078,                0.59913,                0.51315,                0.54887,                0.29948,                 1.6101,                 1.6158,                 1.9062,               0.009406,               0.009406,               0.009406
                      6,                 1.3818,                 1.8155,                 1.6651,                0.62666,                0.54211,                0.58706,                0.33279,                 1.5448,                 1.5509,                 1.8536,               0.009208,               0.009208,               0.009208
                      7,                 1.3487,                 1.7303,                 1.6386,                0.64592,                0.58036,                0.62281,                0.35824,                  1.486,                 1.4262,                 1.8233,                0.00901,                0.00901,                0.00901
                      8,                 1.3221,                 1.6662,                 1.6145,                0.72297,                0.59773,                0.68402,                 0.3952,                 1.4725,                 1.3126,                 1.7993,               0.008812,               0.008812,               0.008812
                      9,                 1.3019,                 1.5995,                 1.5958,                 0.7353,                0.60908,                0.68413,                0.40244,                 1.4473,                 1.3018,                 1.7485,               0.008614,               0.008614,               0.008614
                     10,                 1.2891,                 1.5458,                 1.5799,                0.74873,                0.63399,                0.70545,                0.42494,                    1.4,                 1.2374,                 1.7042,               0.008416,               0.008416,               0.008416
                     11,                 1.2645,                 1.5002,                 1.5601,                0.77578,                0.62121,                0.72204,                0.44393,                 1.3788,                 1.1647,                 1.6921,               0.008218,               0.008218,               0.008218
                     12,                 1.2509,                 1.4691,                 1.5462,                0.78278,                0.68635,                0.76896,                0.47091,                  1.357,                 1.0886,                 1.6504,                0.00802,                0.00802,                0.00802
                     13,                 1.2423,                 1.4447,                 1.5332,                0.82119,                0.69182,                0.78213,                0.48938,                 1.3275,                 1.0594,                 1.6346,               0.007822,               0.007822,               0.007822
                     14,                 1.2269,                  1.407,                 1.5218,                0.83049,                0.71601,                0.80418,                0.50397,                 1.3082,                 1.0414,                 1.6052,               0.007624,               0.007624,               0.007624
                     15,                 1.2195,                 1.3729,                 1.5143,                0.80012,                0.74332,                0.81624,                0.51252,                 1.3081,                 1.0058,                 1.6031,               0.007426,               0.007426,               0.007426
                     16,                 1.2089,                 1.3577,                 1.5022,                0.81454,                0.72147,                0.81262,                0.50954,                 1.2866,                0.98245,                 1.5797,               0.007228,               0.007228,               0.007228
                     17,                 1.1955,                 1.3261,                 1.4908,                0.81914,                0.75898,                0.81386,                0.52126,                 1.2728,                0.94727,                 1.5677,                0.00703,                0.00703,                0.00703
                     18,                 1.1796,                 1.2986,                 1.4778,                0.81654,                0.75536,                0.82761,                 0.5326,                 1.2578,                0.92388,                 1.5477,               0.006832,               0.006832,               0.006832
                     19,                 1.1772,                 1.2925,                 1.4796,                0.83696,                0.75228,                0.82983,                0.53534,                   1.25,                 0.9169,                 1.5453,               0.006634,               0.006634,               0.006634
                     20,                 1.1724,                 1.2751,                 1.4735,                0.83572,                0.77998,                0.84933,                0.54811,                 1.2381,                0.89204,                 1.5314,               0.006436,               0.006436,               0.006436
                     21,                 1.1641,                 1.2613,                 1.4633,                0.81705,                0.78903,                0.84266,                0.54746,                 1.2203,                0.87312,                 1.5111,               0.006238,               0.006238,               0.006238
                     22,                 1.1599,                 1.2348,                 1.4593,                0.84451,                0.77934,                0.85763,                0.56616,                 1.2079,                0.85896,                 1.5011,                0.00604,                0.00604,                0.00604
                     23,                 1.1497,                 1.2066,                 1.4457,                0.86868,                 0.7976,                0.87114,                0.56985,                 1.2055,                0.83735,                 1.4886,               0.005842,               0.005842,               0.005842
                     24,                 1.1429,                 1.2079,                 1.4432,                 0.8485,                0.80289,                0.87148,                0.57568,                 1.1965,                0.82244,                 1.4827,               0.005644,               0.005644,               0.005644
                     25,                 1.1341,                 1.1904,                 1.4388,                0.84261,                0.79087,                0.87167,                0.57711,                 1.1899,                0.80734,                 1.4766,               0.005446,               0.005446,               0.005446
                     26,                 1.1344,                 1.1837,                  1.434,                0.87162,                0.79233,                0.87675,                0.58728,                  1.182,                0.79241,                 1.4658,               0.005248,               0.005248,               0.005248
                     27,                 1.1192,                 1.1548,                 1.4248,                0.87573,                0.79549,                0.88325,                0.58843,                 1.1764,                0.78469,                 1.4621,                0.00505,                0.00505,                0.00505
                     28,                 1.1107,                 1.1369,                 1.4176,                0.85711,                0.80416,                0.88334,                0.59254,                 1.1703,                0.77583,                 1.4576,               0.004852,               0.004852,               0.004852
                     29,                  1.106,                 1.1249,                 1.4107,                0.86882,                0.79563,                0.88555,                0.59726,                 1.1624,                0.77115,                 1.4511,               0.004654,               0.004654,               0.004654
                     30,                 1.1034,                  1.126,                   1.41,                 0.8581,                0.81393,                0.88516,                0.59954,                 1.1552,                0.76754,                 1.4444,               0.004456,               0.004456,               0.004456
                     31,                 1.0894,                 1.1026,                 1.4032,                0.86218,                0.81579,                0.88564,                0.60563,                 1.1482,                 0.7573,                 1.4382,               0.004258,               0.004258,               0.004258
                     32,                 1.0853,                 1.0878,                 1.3965,                0.87067,                0.82713,                0.89117,                0.60999,                  1.145,                 0.7493,                 1.4336,                0.00406,                0.00406,                0.00406
                     33,                 1.0795,                  1.073,                 1.3895,                0.87292,                 0.8319,                0.89737,                0.61603,                 1.1442,                0.74247,                 1.4303,               0.003862,               0.003862,               0.003862
                     34,                 1.0778,                 1.0654,                 1.3867,                0.88041,                0.83153,                0.89796,                0.61528,                 1.1385,                0.73472,                 1.4252,               0.003664,               0.003664,               0.003664
                     35,                 1.0705,                 1.0504,                 1.3812,                0.89038,                0.83069,                0.89949,                 0.6145,                 1.1341,                0.73017,                 1.4217,               0.003466,               0.003466,               0.003466
                     36,                 1.0651,                 1.0451,                 1.3783,                0.89276,                 0.8345,                0.90102,                0.61716,                 1.1309,                0.72702,                 1.4191,               0.003268,               0.003268,               0.003268
                     37,                 1.0574,                 1.0312,                 1.3701,                0.89156,                0.83153,                0.90276,                0.61929,                 1.1283,                0.72345,                 1.4165,                0.00307,                0.00307,                0.00307
                     38,                 1.0472,                 1.0153,                  1.364,                0.88367,                0.83773,                0.90317,                0.62114,                 1.1251,                0.71799,                 1.4125,               0.002872,               0.002872,               0.002872
                     39,                 1.0431,                 1.0058,                  1.361,                0.89194,                0.83237,                0.90407,                0.62274,                 1.1231,                0.71296,                 1.4099,               0.002674,               0.002674,               0.002674
                     40,                 1.0395,                0.99373,                 1.3547,                0.89693,                0.83142,                 0.9052,                0.62049,                 1.1216,                0.70962,                  1.408,               0.002476,               0.002476,               0.002476
                     41,                 1.0228,                0.78404,                 1.3905,                0.89025,                0.82879,                0.90161,                0.62206,                 1.1178,                0.70551,                 1.4042,               0.002278,               0.002278,               0.002278
                     42,                0.99571,                0.74685,                 1.3733,                0.89246,                0.83536,                0.90258,                0.62373,                 1.1124,                 0.7008,                 1.3996,                0.00208,                0.00208,                0.00208
                     43,                0.98006,                0.71871,                 1.3545,                0.88806,                0.83961,                0.90481,                0.62574,                  1.109,                0.69458,                 1.3963,               0.001882,               0.001882,               0.001882
                     44,                0.97395,                0.70458,                 1.3476,                0.89354,                0.83682,                0.90628,                0.62859,                 1.1061,                0.69012,                 1.3933,               0.001684,               0.001684,               0.001684
                     45,                0.95736,                0.68392,                 1.3339,                0.89842,                0.83329,                0.90498,                0.62951,                 1.1028,                0.68632,                 1.3905,               0.001486,               0.001486,               0.001486
                     46,                0.94442,                 0.6735,                 1.3243,                0.90302,                0.83289,                0.90589,                0.63212,                  1.101,                0.68219,                 1.3887,               0.001288,               0.001288,               0.001288
                     47,                0.93755,                0.65318,                 1.3164,                0.89712,                 0.8389,                0.90658,                0.63382,                 1.0992,                0.67843,                  1.387,                0.00109,                0.00109,                0.00109
                     48,                0.92328,                0.64109,                 1.3061,                0.88574,                0.84678,                0.91043,                0.63554,                 1.0973,                 0.6747,                 1.3853,               0.000892,               0.000892,               0.000892
                     49,                0.91117,                0.62612,                 1.2961,                 0.8907,                0.84978,                0.91157,                0.63709,                 1.0958,                0.67136,                 1.3841,               0.000694,               0.000694,               0.000694
                     50,                0.89957,                 0.6147,                 1.2892,                0.88799,                0.85555,                0.91315,                0.63881,                  1.094,                0.66829,                 1.3826,               0.000496,               0.000496,               0.000496
