                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5885,                 4.0403,                 1.4309,                0.00278,                0.89103,                0.19203,                0.09743,                 1.4354,                 3.6273,                 1.5996,             0.00054592,             0.00054592,             0.00054592
                      2,                 1.5608,                 3.0416,                 1.4081,                 0.5374,                0.27381,                0.47164,                0.22173,                 1.6717,                 3.0124,                 1.8961,             0.00099253,             0.00099253,             0.00099253
                      3,                 1.5771,                 2.6651,                 1.4372,                0.45989,                0.42216,                0.45703,                0.25157,                 1.6731,                 2.5601,                 1.9358,              0.0013291,              0.0013291,              0.0013291
                      4,                 1.5538,                 2.1842,                 1.4186,                0.60594,                0.60417,                0.58641,                0.30139,                 1.6935,                  1.869,                 1.7719,              0.0011719,              0.0011719,              0.0011719
                      5,                  1.472,                  1.863,                 1.3702,                0.72464,                0.62449,                0.66788,                0.39013,                 1.3489,                 1.7581,                 1.5532,              0.0011719,              0.0011719,              0.0011719
                      6,                 1.3972,                 1.5578,                 1.3067,                0.77873,                0.62351,                0.69549,                0.43008,                 1.3382,                 1.4539,                 1.5138,              0.0010069,              0.0010069,              0.0010069
                      7,                 1.2924,                 1.4006,                 1.2695,                0.74049,                0.66941,                0.72213,                0.45415,                 1.2738,                 1.3205,                 1.5567,             0.00084184,             0.00084184,             0.00084184
                      8,                 1.1987,                 1.1933,                 1.1877,                0.89802,                0.74715,                0.81097,                0.51083,                 1.3379,                 1.0812,                 1.5298,              0.0006768,              0.0006768,              0.0006768
                      9,                 1.1751,                 1.0816,                 1.1634,                0.84637,                0.80227,                0.84551,                 0.5359,                 1.2792,                0.96464,                 1.4307,             0.00051177,             0.00051177,             0.00051177
                     10,                 1.1242,                 0.9972,                 1.1259,                0.86034,                0.82555,                0.83801,                0.57826,                  1.064,                0.91697,                  1.279,             0.00034674,             0.00034674,             0.00034674
