                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9639,                 3.1165,                  2.074,                0.31772,                0.22222,                0.15889,                0.05308,                 2.2896,                 3.0151,                 2.4055,             0.00066494,             0.00066494,             0.00066494
                      2,                 2.0637,                 2.7247,                 2.1774,                0.32802,                0.25397,                0.22351,                0.07595,                 2.3989,                 2.5929,                 2.5725,              0.0012657,              0.0012657,              0.0012657
                      3,                 2.0395,                 2.5906,                 2.2093,                 0.2209,                0.31429,                  0.173,                0.06778,                 2.0757,                 2.7711,                 2.3491,              0.0018004,              0.0018004,              0.0018004
                      4,                 1.9522,                   2.47,                 2.1214,                0.42016,                0.34966,                0.35867,                0.14196,                 2.0999,                 2.2472,                 2.3535,               0.001703,               0.001703,               0.001703
                      5,                 1.9156,                  2.406,                 2.1173,                0.45052,                0.40317,                0.35704,                0.14955,                 2.0875,                 2.2336,                 2.3027,               0.001703,               0.001703,               0.001703
                      6,                  1.877,                 2.3342,                  2.063,                0.47897,                0.38231,                0.39688,                0.19072,                 1.9392,                 2.1227,                 2.1776,               0.001604,               0.001604,               0.001604
                      7,                 1.8311,                 2.2828,                 2.0229,                0.42979,                 0.4254,                 0.3578,                0.16675,                 2.0284,                 2.2216,                 2.2809,               0.001505,               0.001505,               0.001505
                      8,                 1.7929,                 2.2141,                 1.9984,                 0.6291,                0.48889,                 0.5581,                0.27276,                 1.8129,                 1.8149,                 2.0849,               0.001406,               0.001406,               0.001406
                      9,                 1.7467,                 2.1009,                 1.9492,                0.56016,                0.48516,                0.52532,                0.25782,                 1.8619,                 1.9129,                 2.1518,               0.001307,               0.001307,               0.001307
                     10,                 1.7139,                 2.0532,                 1.9199,                0.66855,                0.53788,                0.60623,                0.30712,                 1.7942,                 1.7781,                 2.0252,               0.001208,               0.001208,               0.001208
                     11,                 1.7218,                 1.8084,                 2.0444,                 0.6628,                0.51111,                0.58553,                0.27998,                 1.7595,                 1.8501,                 2.0603,               0.001109,               0.001109,               0.001109
                     12,                 1.6801,                 1.7342,                 1.9991,                0.57865,                0.57143,                0.60602,                0.30278,                  1.729,                 1.6343,                 2.0226,                0.00101,                0.00101,                0.00101
                     13,                 1.6404,                 1.6553,                 1.9835,                0.63162,                0.62595,                0.65609,                 0.3245,                 1.7437,                 1.5641,                 2.0145,               0.000911,               0.000911,               0.000911
                     14,                 1.6314,                 1.5988,                 1.9551,                0.61272,                0.64444,                0.65327,                0.32655,                 1.6578,                  1.599,                  1.957,               0.000812,               0.000812,               0.000812
                     15,                 1.5808,                 1.5559,                 1.9131,                0.60792,                    0.6,                0.64855,                0.31796,                 1.7806,                 1.5762,                 2.0573,               0.000713,               0.000713,               0.000713
                     16,                 1.5463,                 1.4969,                 1.8801,                0.68732,                0.60635,                0.70916,                0.37187,                  1.661,                 1.4442,                 1.9502,               0.000614,               0.000614,               0.000614
                     17,                 1.5379,                 1.4374,                 1.8576,                0.70407,                0.59667,                0.69818,                0.36796,                 1.6466,                 1.4734,                 1.9382,               0.000515,               0.000515,               0.000515
                     18,                 1.4985,                 1.3919,                 1.8427,                0.68043,                0.66032,                0.67373,                0.34842,                 1.6227,                 1.4578,                 1.9007,               0.000416,               0.000416,               0.000416
                     19,                 1.4586,                 1.3586,                 1.8019,                0.69307,                0.67384,                0.73371,                0.39128,                  1.586,                 1.3892,                 1.8729,               0.000317,               0.000317,               0.000317
                     20,                 1.4585,                 1.3125,                 1.7796,                0.61789,                0.67937,                0.69361,                0.34755,                 1.6072,                 1.4182,                 1.9047,               0.000218,               0.000218,               0.000218
